"linkid","birth_date","sex"
100610,2008-07-30,"M"
100611,2011-02-14,"M"
100612,2011-02-06,"M"
100613,2010-02-18,"F"
100614,2012-05-24,"M"
100615,2011-04-06,"F"
100616,2011-07-31,"M"
100617,2012-11-11,"M"
100618,2014-05-16,"M"
100619,2014-06-15,"M"
100620,2012-11-27,"F"
100621,2009-12-12,"F"
100622,2012-08-18,"M"
100623,2011-12-09,"F"
100624,2012-09-10,"M"
100625,2014-03-27,"M"
100626,2013-11-11,"M"
100627,2013-02-11,"F"
100628,2010-10-29,"M"
100629,2013-01-02,"F"
100630,2010-02-10,"F"
100631,2014-02-05,"F"
100632,2011-04-07,"M"
100633,2009-05-22,"F"
100634,2013-04-26,"M"
100635,2010-02-18,"F"
100636,2013-07-04,"F"
100637,2010-07-01,"F"
100638,2010-07-01,"F"
100639,2012-02-06,"M"
100640,2012-05-26,"F"
100641,2010-07-01,"F"
100642,2010-08-08,"M"
100643,2010-07-01,"M"
100644,2013-03-08,"F"
100645,2011-07-06,"M"
100646,2010-07-01,"M"
100647,2012-02-10,"F"
100648,2010-07-01,"M"
100649,2013-08-24,"F"
100650,2014-02-05,"M"
100651,2011-11-11,"M"
100652,2009-09-13,"M"
100653,2012-02-21,"M"
100654,2009-06-09,"F"
100655,2011-05-02,"M"
100656,2013-02-24,"M"
100657,2009-11-26,"M"
100658,2013-02-08,"F"
100659,2013-05-07,"M"
100660,2010-02-24,"M"
100661,2012-11-30,"F"
100662,2011-08-31,"M"
100664,2013-06-08,"M"
100665,2010-07-01,"F"
100666,2009-04-18,"M"
100667,2009-07-06,"F"
100668,2009-02-15,"M"
100669,2009-01-22,"F"
100670,2012-06-20,"F"
100671,2010-04-16,"F"
100672,2011-11-11,"M"
100673,2009-11-29,"F"
100674,2014-01-26,"F"
100675,2008-09-20,"M"
100676,2009-04-06,"M"
100677,2014-01-01,"F"
100678,2011-01-16,"M"
100679,2010-07-03,"F"
100680,2002-12-29,"F"
100681,2013-06-11,"F"
100682,2014-12-02,"M"
100683,2014-06-03,"F"
100684,2010-01-30,"M"
100685,2011-03-03,"F"
100686,2013-09-12,"F"
100687,2014-06-22,"F"
100688,2010-02-03,"F"
100689,2014-11-26,"F"
100690,2011-06-20,"M"
100691,2011-09-05,"M"
100692,2010-11-11,"F"
100693,2011-09-20,"F"
100694,2011-12-02,"F"
100695,2013-12-23,"M"
100696,2012-04-12,"F"
100697,2013-01-05,"M"
100698,2012-01-14,"F"
100699,2014-05-27,"M"
100700,2010-07-01,"F"
100701,2014-04-28,"F"
100702,2011-09-15,"F"
100703,2014-01-04,"F"
100704,2014-04-23,"M"
100705,2011-12-10,"F"
100706,2012-02-25,"F"
100707,2010-07-01,"M"
100708,2013-09-13,"F"
100709,2014-09-24,"F"
100710,2012-12-05,"F"
100711,2009-09-16,"F"
100712,2014-11-11,"M"
100713,2013-10-30,"M"
100714,2011-02-09,"M"
100715,2010-06-17,"F"
100716,2013-09-20,"F"
100717,2014-03-04,"M"
100718,2011-05-07,"M"
100719,2014-04-13,"F"
100720,2010-10-31,"F"
100721,2009-04-07,"F"
100722,2012-07-26,"M"
100723,2013-08-29,"M"
100724,2012-07-01,"M"
100725,2010-10-07,"M"
100726,2013-05-07,"F"
100727,2010-04-10,"F"
100728,2010-04-30,"F"
100729,2014-02-11,"F"
100730,2014-08-14,"M"
100731,2012-06-08,"M"
100732,2013-08-03,"F"
100733,2011-08-22,"M"
100734,2014-08-23,"F"
100735,2011-02-24,"M"
100736,2012-09-05,"F"
100737,2011-12-11,"F"
100738,2014-10-09,"F"
100739,2012-05-18,"M"
100740,2013-08-31,"M"
100741,2012-02-18,"F"
100742,2013-11-15,"F"
100743,2014-04-17,"F"
100744,2010-07-11,"F"
100745,2014-07-07,"F"
100746,2012-01-26,"F"
100747,2011-10-20,"M"
100748,2011-01-10,"F"
100749,2013-01-01,"M"
100750,2009-03-08,"M"
100751,2010-07-03,"F"
100752,2011-11-15,"M"
100753,2013-07-15,"F"
100754,2009-01-01,"M"
100755,2014-02-24,"F"
100756,2011-09-21,"F"
100757,2009-07-12,"M"
100758,2013-06-09,"M"
100759,2010-11-20,"M"
100760,2009-06-01,"M"
100761,2012-03-21,"F"
100762,2009-07-20,"F"
100763,2014-09-10,"F"
100764,2009-11-28,"M"
100765,2012-05-01,"M"
100766,2013-01-06,"F"
100767,2013-09-05,"F"
100768,2011-09-17,"M"
100769,2009-10-28,"M"
100770,2009-10-06,"F"
100771,2010-05-11,"F"
100772,2009-08-25,"F"
100773,2010-08-06,"F"
100774,2013-01-01,"M"
100775,2014-02-16,"M"
100776,2009-02-24,"M"
100777,2011-11-05,"M"
100778,2009-05-13,"M"
100779,2013-02-09,"M"
100780,2009-02-02,"F"
100781,2009-01-21,"M"
100782,2014-07-03,"M"
100783,2009-01-29,"M"
100784,2013-04-05,"M"
100785,2014-11-27,"F"
100786,2013-10-09,"F"
100787,2012-09-28,"M"
100788,2010-10-24,"M"
100789,2012-11-11,"F"
100790,2011-09-13,"M"
100791,2011-08-12,"F"
100792,2010-07-26,"F"
100795,2012-04-06,"M"
100796,2014-02-22,"F"
100798,2006-11-25,"F"
100801,2014-11-18,"F"
100802,2011-12-18,"M"
100803,2002-11-28,"F"
100804,2007-03-11,"M"
100805,2005-03-18,"M"
100806,2006-04-06,"M"
100807,2006-08-28,"F"
100808,2011-04-20,"M"
100810,2009-11-29,"M"
100811,2007-03-20,"F"
100812,2007-02-23,"M"
100813,2014-04-28,"M"
100814,2007-10-27,"M"
100816,2014-09-26,"M"
100817,2014-10-29,"F"
100819,2012-12-09,"M"
100820,2012-09-25,"M"
100821,2008-09-19,"F"
100822,2010-03-06,"M"
100823,2010-09-10,"M"
100824,2013-06-26,"F"
100825,2013-08-28,"M"
100827,2007-01-24,"M"
100828,2014-08-15,"M"
100829,2004-07-21,"F"
100831,2013-06-12,"F"
100832,2011-02-18,"F"
100834,2001-07-27,"M"
100835,2009-04-22,"F"
100837,2012-03-13,"F"
100838,2011-07-17,"M"
100839,2006-07-26,"F"
100840,2009-07-16,"F"
100841,2007-06-08,"F"
100842,2012-11-11,"F"
100844,2001-01-17,"F"
100847,2005-03-14,"F"
100849,2002-09-07,"M"
100850,2009-11-01,"F"
100851,2008-09-22,"M"
100853,2014-04-18,"M"
100854,2012-05-22,"F"
100855,2010-05-21,"F"
100856,2002-05-02,"M"
100857,2009-02-06,"M"
100858,2010-04-01,"M"
100859,2009-01-05,"M"
100860,2005-11-10,"F"
100861,2008-03-20,"F"
100863,2004-03-11,"F"
100864,2001-03-22,"F"
100865,2009-05-22,"U"
100866,2009-04-23,"U"
100867,2011-10-01,"U"
100868,2012-11-07,"U"
100869,2010-01-14,"U"
100870,2011-12-28,"F"
100871,2006-06-04,"F"
100872,2013-04-30,"F"
100873,2013-08-05,"F"
100876,2012-03-11,"F"
100877,2007-09-16,"F"
100878,2007-02-17,"F"
100880,2010-02-01,"F"
100881,2009-06-07,"F"
100882,2001-11-28,"F"
100884,2005-11-21,"F"
100885,2014-05-27,"F"
100886,2014-05-03,"M"
100887,2010-01-09,"F"
100888,2010-08-30,"F"
100889,2012-11-14,"M"
100890,2001-01-27,"F"
100891,2012-12-22,"M"
100892,2012-05-15,"F"
100893,2010-01-22,"F"
100894,2014-11-15,"M"
100895,2012-12-26,"F"
100896,2007-11-05,"F"
100898,2012-06-26,"F"
100899,2009-04-10,"F"
100900,2010-03-10,"M"
100901,2002-07-05,"M"
100902,2008-08-10,"M"
100903,2010-12-06,"F"
100904,2014-04-18,"F"
100905,2012-09-14,"F"
100906,2012-12-03,"M"
100907,2005-07-16,"M"
100908,2011-11-07,"F"
100909,2009-08-18,"F"
100910,2007-12-05,"M"
100911,2010-02-01,"M"
100912,2014-03-13,"F"
100913,2013-04-13,"M"
100914,2004-04-13,"F"
100916,2007-01-20,"F"
100917,2014-12-28,"M"
100918,2013-04-07,"M"
100919,2012-08-11,"F"
100920,2004-05-18,"F"
100921,2009-02-19,"F"
100922,2012-07-09,"M"
100925,2006-02-12,"M"
100926,2001-11-07,"M"
100927,2009-03-01,"M"
100928,2013-04-03,"M"
100929,2010-02-20,"F"
100930,2007-03-07,"M"
100931,2011-08-18,"F"
100932,2012-12-30,"F"
100933,2007-05-24,"F"
100936,2008-07-30,"F"
100937,2007-03-03,"M"
100939,2014-03-17,"F"
100940,2013-12-27,"M"
100941,2007-06-17,"M"
100942,2002-05-03,"M"
100943,2009-01-30,"F"
100944,2003-09-24,"F"
100945,2013-11-20,"F"
100946,2010-12-01,"F"
100947,2012-05-22,"F"
100948,2009-12-24,"M"
100949,2014-10-18,"F"
100950,2003-10-20,"F"
100951,2002-11-21,"F"
100952,2014-02-03,"F"
100953,2009-10-04,"F"
100954,2013-09-05,"M"
100955,2014-07-19,"M"
100956,2008-10-04,"M"
100957,2006-01-14,"F"
100958,2007-06-18,"M"
100960,2004-08-03,"F"
100962,2014-01-07,"M"
100963,2013-06-03,"F"
100964,2008-01-23,"M"
100965,2010-03-14,"F"
100967,2009-11-25,"F"
100969,2011-08-18,"F"
100970,2009-12-09,"F"
100972,2014-09-05,"M"
100978,2012-02-04,"F"
100979,2012-07-22,"F"
100980,2005-07-24,"F"
100981,2009-05-19,"M"
100982,2002-09-08,"M"
100983,2007-07-12,"F"
100984,2008-05-27,"M"
100985,2005-06-04,"F"
100986,2002-03-07,"M"
100987,2007-07-29,"F"
100988,2007-05-16,"F"
100989,2009-02-18,"F"
100990,2011-01-19,"M"
100992,2012-06-03,"M"
100993,2009-03-05,"F"
100995,2007-07-23,"M"
100996,2012-04-21,"M"
100997,2005-12-28,"M"
100998,2008-12-28,"M"
100999,2007-06-12,"M"
101000,2014-09-15,"M"
101001,2005-01-08,"F"
101005,2004-11-09,"F"
101007,2014-02-16,"U"
101009,2014-05-01,"F"
101010,2008-12-31,"M"
101011,2013-03-19,"F"
101012,2007-08-09,"F"
101014,2011-12-15,"F"
101015,2010-10-05,"M"
101016,2011-09-19,"M"
101017,2009-12-02,"M"
101018,2011-02-19,"F"
101019,2011-05-04,"M"
101021,2009-07-08,"F"
101022,2009-06-10,"M"
101023,2014-12-16,"F"
101024,2011-06-24,"F"
101025,2011-11-17,"M"
101026,2010-12-31,"F"
101027,2013-11-16,"F"
101028,2013-02-16,"M"
101029,2012-12-31,"M"
101030,2012-10-09,"M"
101031,2013-01-25,"F"
101032,2014-12-25,"F"
101033,2012-12-04,"M"
101034,2012-08-27,"M"
101035,2013-01-02,"F"
101036,2014-04-29,"F"
101037,2010-01-03,"M"
101038,2014-10-30,"F"
101039,2011-09-08,"M"
101040,2012-06-05,"M"
101041,2013-05-12,"F"
101042,2011-08-21,"M"
101043,2012-11-06,"F"
101044,2012-12-28,"F"
101045,2009-06-06,"F"
101046,2013-03-13,"M"
101047,2013-05-29,"M"
101048,2011-01-08,"M"
101049,2009-08-01,"F"
101050,2012-07-20,"F"
101051,2012-06-01,"F"
101052,2013-12-27,"F"
101053,2010-03-03,"M"
101054,2012-08-07,"M"
101055,2011-09-08,"F"
101056,2012-01-16,"M"
101057,2011-04-04,"F"
101058,2014-09-12,"F"
101059,2014-03-17,"F"
101060,2009-02-05,"F"
